session_id,timestamp,temperature,irradiation,dc_power,ac_power,Sim_dc_power,Sim_ac_power
1,2025-04-06 12:34:18,37.7,1042.0,76.48,73.42,100.98093,99.350733
2,2025-04-06 13:32:13,38.4,1020.0,74.86,71.87,98.621444,96.920214
3,2025-04-06 13:36:00,38.4,1020.0,74.86,71.87,98.621444,96.920214
4,2025-04-06 16:42:09,37.5,343.0,25.17,24.17,32.490449,31.978841
5,2025-04-06 16:50:05,37.3,305.0,22.39,21.49,28.776088,28.295667
6,2025-04-06 17:08:35,37.0,269.0,19.74,18.95,25.32875,24.827938
7,2025-04-06 17:14:09,37.0,269.0,19.74,18.95,25.32875,24.827938
8,2025-04-06 17:17:24,36.7,232.0,17.03,16.35,21.736971,21.306496
9,2025-04-06 17:20:53,36.7,232.0,17.03,16.35,21.736971,21.306496
10,2025-04-06 17:38:48,36.5,181.0,13.28,12.75,16.762291,16.381321
11,2025-04-06 17:41:55,36.5,181.0,13.28,12.75,16.762291,16.381321
12,2025-04-06 17:44:49,36.5,181.0,13.28,12.75,16.762291,16.381321
13,2025-04-06 17:57:15,36.2,138.0,10.13,9.72,12.656441,12.300654
14,2025-04-06 18:02:15,35.7,100.0,7.34,7.05,8.996544,8.665821
15,2025-04-10 16:59:11,32.4,356.0,26.13,25.08,34.342172,33.807284
17,2025-04-10 19:33:38,28.6,0.0,0.0,0.0,0.0,0.0
18,2025-04-10 19:48:58,28.2,0.0,0.0,0.0,0.0,0.0
19,2025-04-11 06:03:43,23.0,0.0,0.0,0.0,0.0,0.0
21,2025-04-11 11:27:33,32.5,842.0,61.8,59.33,82.803457,81.571146
22,2025-04-26 09:51:19,33.3,729.0,53.5,51.36,71.362926,70.475942
23,2025-04-26 12:21:09,38.8,1027.0,75.38,72.36,99.165783,97.567122
24,2025-04-26 12:24:20,38.8,1027.0,75.38,72.36,99.165783,97.567122
25,2025-06-08 10:30:40,26.8,661.0,48.51,46.57,65.924903,65.104511
26,2025-06-08 10:34:32,26.8,661.0,48.51,46.57,65.924903,65.104511
27,2025-06-08 17:31:28,25.7,188.0,13.8,13.25,18.161389,17.778227
28,2025-06-09 07:14:01,23.0,88.0,6.46,6.2,8.320064,8.0074
29,2025-06-09 12:08:51,28.6,656.0,48.15,46.22,65.061753,64.22981
30,2025-06-09 12:14:13,28.6,656.0,48.15,46.22,65.061753,64.22981
